"Table","Year","Month","Variable","Value"
"CAP Pumping Plants - Projection of Energy Use",2008,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2008,"MAR","WADRelease","-9.8010000000000002"
"CAP Pumping Plants - Projection of Energy Use",2008,"APR","WADRelease","-1442.32"
"CAP Pumping Plants - Projection of Energy Use",2008,"MAY","WADRelease","-998.00800000000004"
"CAP Pumping Plants - Projection of Energy Use",2008,"JUN","WADRelease","-7291.9440000000004"
"CAP Pumping Plants - Projection of Energy Use",2008,"JUL","WADRelease","-11214.159"
"CAP Pumping Plants - Projection of Energy Use",2008,"AUG","WADRelease","-15655.343000000001"
"CAP Pumping Plants - Projection of Energy Use",2008,"SEP","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2008,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2008,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2008,"DEC","WADRelease","-2739.6819999999998"
"CAP Pumping Plants - Projection of Energy Use",2008,"TOTAL","WADRelease","-39351.256999999998"
"CAP Pumping Plants - Projection of Energy Use",2009,"(KWH/AF)->","WADRelease","121"
"CAP Pumping Plants - Projection of Energy Use",2009,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"APR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"MAY","WADRelease","-1464.826"
"CAP Pumping Plants - Projection of Energy Use",2009,"JUN","WADRelease","-10179.004000000001"
"CAP Pumping Plants - Projection of Energy Use",2009,"JUL","WADRelease","-14312.968999999999"
"CAP Pumping Plants - Projection of Energy Use",2009,"AUG","WADRelease","-15272.378000000001"
"CAP Pumping Plants - Projection of Energy Use",2009,"SEP","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2009,"TOTAL","WADRelease","-41229.176999999996"
"CAP Pumping Plants - Projection of Energy Use",2010,"(KWH/AF)->","WADRelease","121"
"CAP Pumping Plants - Projection of Energy Use",2010,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"APR","WADRelease","-637.06500000000005"
"CAP Pumping Plants - Projection of Energy Use",2010,"MAY","WADRelease","-285.68099999999998"
"CAP Pumping Plants - Projection of Energy Use",2010,"JUN","WADRelease","-4835.7650000000003"
"CAP Pumping Plants - Projection of Energy Use",2010,"JUL","WADRelease","-20295.088"
"CAP Pumping Plants - Projection of Energy Use",2010,"AUG","WADRelease","-12934.295"
"CAP Pumping Plants - Projection of Energy Use",2010,"SEP","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2010,"TOTAL","WADRelease","-38987.894"
"CAP Pumping Plants - Projection of Energy Use",2011,"(KWH/AF)->","WADRelease","121"
"CAP Pumping Plants - Projection of Energy Use",2011,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"APR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"MAY","WADRelease","-3141.7649999999999"
"CAP Pumping Plants - Projection of Energy Use",2011,"JUN","WADRelease","-9426.8680000000004"
"CAP Pumping Plants - Projection of Energy Use",2011,"JUL","WADRelease","-19279.655999999999"
"CAP Pumping Plants - Projection of Energy Use",2011,"AUG","WADRelease","-19514.275000000001"
"CAP Pumping Plants - Projection of Energy Use",2011,"SEP","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2011,"TOTAL","WADRelease","-51362.563999999998"
"CAP Pumping Plants - Projection of Energy Use",2012,"(KWH/AF)->","WADRelease",NA
"CAP Pumping Plants - Projection of Energy Use",2012,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2012,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2012,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2012,"APR","WADRelease","-669.29726509267925"
"CAP Pumping Plants - Projection of Energy Use",2012,"MAY","WADRelease","-3009.6788244159793"
"CAP Pumping Plants - Projection of Energy Use",2012,"JUN","WADRelease","-10757.240391861347"
"CAP Pumping Plants - Projection of Energy Use",2012,"JUL","WADRelease","-16612.436394999178"
"CAP Pumping Plants - Projection of Energy Use",2012,"AUG","WADRelease","-9949.5802355897686"
"CAP Pumping Plants - Projection of Energy Use",2012,"SEP","WADRelease","-656.45534287867349"
"CAP Pumping Plants - Projection of Energy Use",2012,"OCT","WADRelease","-9598.8192162772739"
"CAP Pumping Plants - Projection of Energy Use",2012,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2012,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2012,"TOTAL","WADRelease","-51253.507671114901"
"CAP Pumping Plants - Projection of Energy Use",2013,"(KWH/AF)->","WADRelease",NA
"CAP Pumping Plants - Projection of Energy Use",2013,"JAN","WADRelease","-3680.0882349419553"
"CAP Pumping Plants - Projection of Energy Use",2013,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2013,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2013,"APR","WADRelease","-5419.5560906738274"
"CAP Pumping Plants - Projection of Energy Use",2013,"MAY","WADRelease","-3176.9432102486849"
"CAP Pumping Plants - Projection of Energy Use",2013,"JUN","WADRelease","-10593.252298417488"
"CAP Pumping Plants - Projection of Energy Use",2013,"JUL","WADRelease","-11418.78165383781"
"CAP Pumping Plants - Projection of Energy Use",2013,"AUG","WADRelease","-9236.5638473718936"
"CAP Pumping Plants - Projection of Energy Use",2013,"SEP","WADRelease","-38.179171062547091"
"CAP Pumping Plants - Projection of Energy Use",2013,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2013,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2013,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2013,"TOTAL","WADRelease","-43563.364506554208"
"CAP Pumping Plants - Projection of Energy Use",2014,"JAN","WADRelease","-3953.6304412860668"
"CAP Pumping Plants - Projection of Energy Use",2014,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2014,"MAR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2014,"APR","WADRelease","-56.655910909755221"
"CAP Pumping Plants - Projection of Energy Use",2014,"MAY","WADRelease","-1537.7830896759624"
"CAP Pumping Plants - Projection of Energy Use",2014,"JUN","WADRelease","-8744.6346646571255"
"CAP Pumping Plants - Projection of Energy Use",2014,"JUL","WADRelease","-11355.388337174203"
"CAP Pumping Plants - Projection of Energy Use",2014,"AUG","WADRelease","-7114.1552424432903"
"CAP Pumping Plants - Projection of Energy Use",2014,"SEP","WADRelease","-568.0566691785981"
"CAP Pumping Plants - Projection of Energy Use",2014,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2014,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2014,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2014,"TOTAL","WADRelease","-33330.304355325003"
"CAP Pumping Plants - Projection of Energy Use",2015,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2015,"FEB","WADRelease","-40.07174076865109"
"CAP Pumping Plants - Projection of Energy Use",2015,"MAR","WADRelease","-977.45697061039903"
"CAP Pumping Plants - Projection of Energy Use",2015,"APR","WADRelease","-5445.4378995573925"
"CAP Pumping Plants - Projection of Energy Use",2015,"MAY","WADRelease","-542.52913338357257"
"CAP Pumping Plants - Projection of Energy Use",2015,"JUN","WADRelease","-11299.225772418997"
"CAP Pumping Plants - Projection of Energy Use",2015,"JUL","WADRelease","-10640.15687130544"
"CAP Pumping Plants - Projection of Energy Use",2015,"AUG","WADRelease","-10249.74223062979"
"CAP Pumping Plants - Projection of Energy Use",2015,"SEP","WADRelease","-206.94963074604362"
"CAP Pumping Plants - Projection of Energy Use",2015,"OCT","WADRelease","-1144.8847324792714"
"CAP Pumping Plants - Projection of Energy Use",2015,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2015,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2015,"TOTAL","WADRelease","-40546.454981899558"
"CAP Pumping Plants - Projection of Energy Use",2016,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"MAR","WADRelease","-1666.5490580256212"
"CAP Pumping Plants - Projection of Energy Use",2016,"APR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"MAY","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"JUN","WADRelease","-15232.50655614168"
"CAP Pumping Plants - Projection of Energy Use",2016,"JUL","WADRelease","-14511.141514979801"
"CAP Pumping Plants - Projection of Energy Use",2016,"AUG","WADRelease","-9240.355367309241"
"CAP Pumping Plants - Projection of Energy Use",2016,"SEP","WADRelease","-2315.0367445365478"
"CAP Pumping Plants - Projection of Energy Use",2016,"OCT","WADRelease","-131.45975885455857"
"CAP Pumping Plants - Projection of Energy Use",2016,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2016,"TOTAL","WADRelease","-43097.048999847451"
"CAP Pumping Plants - Projection of Energy Use",2017,"JAN","WADRelease","-543.06392299236506"
"CAP Pumping Plants - Projection of Energy Use",2017,"FEB","WADRelease","-1212.3242803315748"
"CAP Pumping Plants - Projection of Energy Use",2017,"MAR","WADRelease","-32.851695553880923"
"CAP Pumping Plants - Projection of Energy Use",2017,"APR","WADRelease","-0.94689544695969718"
"CAP Pumping Plants - Projection of Energy Use",2017,"MAY","WADRelease","-230.21998492841021"
"CAP Pumping Plants - Projection of Energy Use",2017,"JUN","WADRelease","-15895.624114544094"
"CAP Pumping Plants - Projection of Energy Use",2017,"JUL","WADRelease","-12136.795650781502"
"CAP Pumping Plants - Projection of Energy Use",2017,"AUG","WADRelease","-9944.4195556750456"
"CAP Pumping Plants - Projection of Energy Use",2017,"SEP","WADRelease","-1421.8911228334584"
"CAP Pumping Plants - Projection of Energy Use",2017,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2017,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2017,"DEC","WADRelease","-9.8083964350448287"
"CAP Pumping Plants - Projection of Energy Use",2017,"TOTAL","WADRelease","-41427.945619522339"
"CAP Pumping Plants - Projection of Energy Use",2018,"JAN","WADRelease","-702.99006867204707"
"CAP Pumping Plants - Projection of Energy Use",2018,"FEB","WADRelease","-2236.3113790504899"
"CAP Pumping Plants - Projection of Energy Use",2018,"MAR","WADRelease","-3012.9924642049727"
"CAP Pumping Plants - Projection of Energy Use",2018,"APR","WADRelease","-1044.425677996546"
"CAP Pumping Plants - Projection of Energy Use",2018,"MAY","WADRelease","-753.46125094197532"
"CAP Pumping Plants - Projection of Energy Use",2018,"JUN","WADRelease","-14451.36623963829"
"CAP Pumping Plants - Projection of Energy Use",2018,"JUL","WADRelease","-14279.828496924818"
"CAP Pumping Plants - Projection of Energy Use",2018,"AUG","WADRelease","-16550.405806515493"
"CAP Pumping Plants - Projection of Energy Use",2018,"SEP","WADRelease","-821.52108515448356"
"CAP Pumping Plants - Projection of Energy Use",2018,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2018,"NOV","WADRelease","-13.620482290881665"
"CAP Pumping Plants - Projection of Energy Use",2018,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2018,"TOTAL","WADRelease","-53866.922951389999"
"CAP Pumping Plants - Projection of Energy Use",2019,"JAN","WADRelease","-2506.933714525439"
"CAP Pumping Plants - Projection of Energy Use",2019,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2019,"MAR","WADRelease","-18.934962702452861"
"CAP Pumping Plants - Projection of Energy Use",2019,"APR","WADRelease","-2064.1243137551173"
"CAP Pumping Plants - Projection of Energy Use",2019,"MAY","WADRelease","-2413.2152245366124"
"CAP Pumping Plants - Projection of Energy Use",2019,"JUN","WADRelease","-11780.352331035441"
"CAP Pumping Plants - Projection of Energy Use",2019,"JUL","WADRelease","-11236.261045961823"
"CAP Pumping Plants - Projection of Energy Use",2019,"AUG","WADRelease","-7553.8558009853941"
"CAP Pumping Plants - Projection of Energy Use",2019,"SEP","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2019,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2019,"NOV","WADRelease","-187.78393597311737"
"CAP Pumping Plants - Projection of Energy Use",2019,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2019,"TOTAL","WADRelease","-37761.461329475394"
"CAP Pumping Plants - Projection of Energy Use",2020,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2020,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2020,"MAR","WADRelease","-3056.318613413714"
"CAP Pumping Plants - Projection of Energy Use",2020,"APR","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2020,"MAY","WADRelease","-1947.3030896759628"
"CAP Pumping Plants - Projection of Energy Use",2020,"JUN","WADRelease","-11782.808138658635"
"CAP Pumping Plants - Projection of Energy Use",2020,"JUL","WADRelease","-13657.388393424346"
"CAP Pumping Plants - Projection of Energy Use",2020,"AUG","WADRelease","-12764.783789070392"
"CAP Pumping Plants - Projection of Energy Use",2020,"SEP","WADRelease","-332.08675207234347"
"CAP Pumping Plants - Projection of Energy Use",2020,"OCT","WADRelease","-2.5953428786736885"
"CAP Pumping Plants - Projection of Energy Use",2020,"NOV","WADRelease","-661.03074604370647"
"CAP Pumping Plants - Projection of Energy Use",2020,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2020,"TOTAL","WADRelease","-44204.314865237771"
"CAP Pumping Plants - Projection of Energy Use",2021,"JAN","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2021,"FEB","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2021,"MAR","WADRelease","-69.353579502637501"
"CAP Pumping Plants - Projection of Energy Use",2021,"APR","WADRelease","-203.89815291198815"
"CAP Pumping Plants - Projection of Energy Use",2021,"MAY","WADRelease","-2540.5978899773954"
"CAP Pumping Plants - Projection of Energy Use",2021,"JUN","WADRelease","-13988.197889977399"
"CAP Pumping Plants - Projection of Energy Use",2021,"JUL","WADRelease","-9683.9340184254161"
"CAP Pumping Plants - Projection of Energy Use",2021,"AUG","WADRelease","-8051.2925869577166"
"CAP Pumping Plants - Projection of Energy Use",2021,"SEP","WADRelease","-857.53917106254676"
"CAP Pumping Plants - Projection of Energy Use",2021,"OCT","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2021,"NOV","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2021,"DEC","WADRelease","0"
"CAP Pumping Plants - Projection of Energy Use",2021,"TOTAL","WADRelease","-35394.813288815101"
"CAP Pumping Plants - Projection of Energy Use",2008,"(KWH/AF)->","SGL","92"
"CAP Pumping Plants - Projection of Energy Use",2008,"JAN","SGL","2664.2280000000001"
"CAP Pumping Plants - Projection of Energy Use",2008,"FEB","SGL","3134.9"
"CAP Pumping Plants - Projection of Energy Use",2008,"MAR","SGL","8529.1360000000004"
"CAP Pumping Plants - Projection of Energy Use",2008,"APR","SGL","10890.132"
"CAP Pumping Plants - Projection of Energy Use",2008,"MAY","SGL","9404.9760000000006"
"CAP Pumping Plants - Projection of Energy Use",2008,"JUN","SGL","12001.675999999999"
"CAP Pumping Plants - Projection of Energy Use",2008,"JUL","SGL","11170.824000000001"
"CAP Pumping Plants - Projection of Energy Use",2008,"AUG","SGL","13208.072"
"CAP Pumping Plants - Projection of Energy Use",2008,"SEP","SGL","8992.6319999999996"
"CAP Pumping Plants - Projection of Energy Use",2008,"OCT","SGL","5788.3639999999996"
"CAP Pumping Plants - Projection of Energy Use",2008,"NOV","SGL","2938.6640000000002"
"CAP Pumping Plants - Projection of Energy Use",2008,"DEC","SGL","2847.5839999999998"
"CAP Pumping Plants - Projection of Energy Use",2008,"TOTAL","SGL","91571.188000000009"
"CAP Pumping Plants - Projection of Energy Use",2009,"(KWH/AF)->","SGL","92"
"CAP Pumping Plants - Projection of Energy Use",2009,"JAN","SGL","3984.152"
"CAP Pumping Plants - Projection of Energy Use",2009,"FEB","SGL","3400.8719999999998"
"CAP Pumping Plants - Projection of Energy Use",2009,"MAR","SGL","7048.3040000000001"
"CAP Pumping Plants - Projection of Energy Use",2009,"APR","SGL","9401.02"
"CAP Pumping Plants - Projection of Energy Use",2009,"MAY","SGL","9819.8040000000001"
"CAP Pumping Plants - Projection of Energy Use",2009,"JUN","SGL","11950.064"
"CAP Pumping Plants - Projection of Energy Use",2009,"JUL","SGL","12295.34"
"CAP Pumping Plants - Projection of Energy Use",2009,"AUG","SGL","12442.632"
"CAP Pumping Plants - Projection of Energy Use",2009,"SEP","SGL","8334.74"
"CAP Pumping Plants - Projection of Energy Use",2009,"OCT","SGL","5503.6239999999998"
"CAP Pumping Plants - Projection of Energy Use",2009,"NOV","SGL","1304.192"
"CAP Pumping Plants - Projection of Energy Use",2009,"DEC","SGL","3817.08"
"CAP Pumping Plants - Projection of Energy Use",2009,"TOTAL","SGL","89301.823999999993"
"CAP Pumping Plants - Projection of Energy Use",2010,"(KWH/AF)->","SGL","92"
"CAP Pumping Plants - Projection of Energy Use",2010,"JAN","SGL","2651.9920000000002"
"CAP Pumping Plants - Projection of Energy Use",2010,"FEB","SGL","2432.02"
"CAP Pumping Plants - Projection of Energy Use",2010,"MAR","SGL","5946.1440000000002"
"CAP Pumping Plants - Projection of Energy Use",2010,"APR","SGL","10927.023999999999"
"CAP Pumping Plants - Projection of Energy Use",2010,"MAY","SGL","9947.5920000000006"
"CAP Pumping Plants - Projection of Energy Use",2010,"JUN","SGL","13363.46"
"CAP Pumping Plants - Projection of Energy Use",2010,"JUL","SGL","13859.156000000001"
"CAP Pumping Plants - Projection of Energy Use",2010,"AUG","SGL","11464.028"
"CAP Pumping Plants - Projection of Energy Use",2010,"SEP","SGL","8792.7160000000003"
"CAP Pumping Plants - Projection of Energy Use",2010,"OCT","SGL","3900.7080000000001"
"CAP Pumping Plants - Projection of Energy Use",2010,"NOV","SGL","3482.66"
"CAP Pumping Plants - Projection of Energy Use",2010,"DEC","SGL","2797.72"
"CAP Pumping Plants - Projection of Energy Use",2010,"TOTAL","SGL","89565.220000000016"
"CAP Pumping Plants - Projection of Energy Use",2011,"(KWH/AF)->","SGL","92"
"CAP Pumping Plants - Projection of Energy Use",2011,"JAN","SGL","3903.652"
"CAP Pumping Plants - Projection of Energy Use",2011,"FEB","SGL","4456.2039999999997"
"CAP Pumping Plants - Projection of Energy Use",2011,"MAR","SGL","8024.0559999999996"
"CAP Pumping Plants - Projection of Energy Use",2011,"APR","SGL","10542.647999999999"
"CAP Pumping Plants - Projection of Energy Use",2011,"MAY","SGL","12169.392"
"CAP Pumping Plants - Projection of Energy Use",2011,"JUN","SGL","14714.388000000001"
"CAP Pumping Plants - Projection of Energy Use",2011,"JUL","SGL","15456.92"
"CAP Pumping Plants - Projection of Energy Use",2011,"AUG","SGL","15627.672"
"CAP Pumping Plants - Projection of Energy Use",2011,"SEP","SGL","9102.1119999999992"
"CAP Pumping Plants - Projection of Energy Use",2011,"OCT","SGL","5070.3040000000001"
"CAP Pumping Plants - Projection of Energy Use",2011,"NOV","SGL","2440.4839999999999"
"CAP Pumping Plants - Projection of Energy Use",2011,"DEC","SGL","3191.2040000000002"
"CAP Pumping Plants - Projection of Energy Use",2011,"TOTAL","SGL","104699.03599999999"
"CAP Pumping Plants - Projection of Energy Use",2012,"(KWH/AF)->","SGL","97"
"CAP Pumping Plants - Projection of Energy Use",2012,"JAN","SGL","3859.63"
"CAP Pumping Plants - Projection of Energy Use",2012,"FEB","SGL","5831.7370000000001"
"CAP Pumping Plants - Projection of Energy Use",2012,"MAR","SGL","8917.4040000000005"
"CAP Pumping Plants - Projection of Energy Use",2012,"APR","SGL","13136.031000000001"
"CAP Pumping Plants - Projection of Energy Use",2012,"MAY","SGL","14194.786"
"CAP Pumping Plants - Projection of Energy Use",2012,"JUN","SGL","16462.548999999999"
"CAP Pumping Plants - Projection of Energy Use",2012,"JUL","SGL","13046.985000000001"
"CAP Pumping Plants - Projection of Energy Use",2012,"AUG","SGL","13081.517"
"CAP Pumping Plants - Projection of Energy Use",2012,"SEP","SGL","9881.4869999999992"
"CAP Pumping Plants - Projection of Energy Use",2012,"OCT","SGL","7129.3059999999996"
"CAP Pumping Plants - Projection of Energy Use",2012,"NOV","SGL","3352.4169999999999"
"CAP Pumping Plants - Projection of Energy Use",2012,"DEC","SGL","4860.0880000000016"
"CAP Pumping Plants - Projection of Energy Use",2012,"TOTAL","SGL","113753.93699999999"
"CAP Pumping Plants - Projection of Energy Use",2013,"(KWH/AF)->","SGL","97"
"CAP Pumping Plants - Projection of Energy Use",2013,"JAN","SGL","2950.74"
"CAP Pumping Plants - Projection of Energy Use",2013,"FEB","SGL","3588.127"
"CAP Pumping Plants - Projection of Energy Use",2013,"MAR","SGL","7620.5140000000001"
"CAP Pumping Plants - Projection of Energy Use",2013,"APR","SGL","12762.871999999999"
"CAP Pumping Plants - Projection of Energy Use",2013,"MAY","SGL","12751.814"
"CAP Pumping Plants - Projection of Energy Use",2013,"JUN","SGL","15389.923000000001"
"CAP Pumping Plants - Projection of Energy Use",2013,"JUL","SGL","12765.781999999999"
"CAP Pumping Plants - Projection of Energy Use",2013,"AUG","SGL","13085.106"
"CAP Pumping Plants - Projection of Energy Use",2013,"SEP","SGL","8145.5749999999998"
"CAP Pumping Plants - Projection of Energy Use",2013,"OCT","SGL","6773.9949999999999"
"CAP Pumping Plants - Projection of Energy Use",2013,"NOV","SGL","3417.0189999999998"
"CAP Pumping Plants - Projection of Energy Use",2013,"DEC","SGL","5034.7849999999999"
"CAP Pumping Plants - Projection of Energy Use",2013,"TOTAL","SGL","104286.25199999999"
"CAP Pumping Plants - Projection of Energy Use",2014,"JAN","SGL","3206"
"CAP Pumping Plants - Projection of Energy Use",2014,"FEB","SGL","4890"
"CAP Pumping Plants - Projection of Energy Use",2014,"MAR","SGL","8464"
"CAP Pumping Plants - Projection of Energy Use",2014,"APR","SGL","11445"
"CAP Pumping Plants - Projection of Energy Use",2014,"MAY","SGL","12866"
"CAP Pumping Plants - Projection of Energy Use",2014,"JUN","SGL","14877"
"CAP Pumping Plants - Projection of Energy Use",2014,"JUL","SGL","13124"
"CAP Pumping Plants - Projection of Energy Use",2014,"AUG","SGL","12133"
"CAP Pumping Plants - Projection of Energy Use",2014,"SEP","SGL","7072"
"CAP Pumping Plants - Projection of Energy Use",2014,"OCT","SGL","6269"
"CAP Pumping Plants - Projection of Energy Use",2014,"NOV","SGL","4268"
"CAP Pumping Plants - Projection of Energy Use",2014,"DEC","SGL","4602"
"CAP Pumping Plants - Projection of Energy Use",2014,"TOTAL","SGL","103216"
"CAP Pumping Plants - Projection of Energy Use",2015,"JAN","SGL","3824"
"CAP Pumping Plants - Projection of Energy Use",2015,"FEB","SGL","5232"
"CAP Pumping Plants - Projection of Energy Use",2015,"MAR","SGL","9483"
"CAP Pumping Plants - Projection of Energy Use",2015,"APR","SGL","13051"
"CAP Pumping Plants - Projection of Energy Use",2015,"MAY","SGL","9840"
"CAP Pumping Plants - Projection of Energy Use",2015,"JUN","SGL","11094"
"CAP Pumping Plants - Projection of Energy Use",2015,"JUL","SGL","9840"
"CAP Pumping Plants - Projection of Energy Use",2015,"AUG","SGL","10054"
"CAP Pumping Plants - Projection of Energy Use",2015,"SEP","SGL","7033"
"CAP Pumping Plants - Projection of Energy Use",2015,"OCT","SGL","5594"
"CAP Pumping Plants - Projection of Energy Use",2015,"NOV","SGL","3189"
"CAP Pumping Plants - Projection of Energy Use",2015,"DEC","SGL","4449"
"CAP Pumping Plants - Projection of Energy Use",2015,"TOTAL","SGL","92683"
"CAP Pumping Plants - Projection of Energy Use",2016,"JAN","SGL","2310"
"CAP Pumping Plants - Projection of Energy Use",2016,"FEB","SGL","5623"
"CAP Pumping Plants - Projection of Energy Use",2016,"MAR","SGL","8674"
"CAP Pumping Plants - Projection of Energy Use",2016,"APR","SGL","10009"
"CAP Pumping Plants - Projection of Energy Use",2016,"MAY","SGL","11565"
"CAP Pumping Plants - Projection of Energy Use",2016,"JUN","SGL","14067"
"CAP Pumping Plants - Projection of Energy Use",2016,"JUL","SGL","12435"
"CAP Pumping Plants - Projection of Energy Use",2016,"AUG","SGL","9399"
"CAP Pumping Plants - Projection of Energy Use",2016,"SEP","SGL","7771"
"CAP Pumping Plants - Projection of Energy Use",2016,"OCT","SGL","5069"
"CAP Pumping Plants - Projection of Energy Use",2016,"NOV","SGL","3137"
"CAP Pumping Plants - Projection of Energy Use",2016,"DEC","SGL","4057"
"CAP Pumping Plants - Projection of Energy Use",2016,"TOTAL","SGL","94116"
"CAP Pumping Plants - Projection of Energy Use",2017,"JAN","SGL","2460"
"CAP Pumping Plants - Projection of Energy Use",2017,"FEB","SGL","3183"
"CAP Pumping Plants - Projection of Energy Use",2017,"MAR","SGL","8482"
"CAP Pumping Plants - Projection of Energy Use",2017,"APR","SGL","10388"
"CAP Pumping Plants - Projection of Energy Use",2017,"MAY","SGL","10072"
"CAP Pumping Plants - Projection of Energy Use",2017,"JUN","SGL","13703"
"CAP Pumping Plants - Projection of Energy Use",2017,"JUL","SGL","10952"
"CAP Pumping Plants - Projection of Energy Use",2017,"AUG","SGL","10833"
"CAP Pumping Plants - Projection of Energy Use",2017,"SEP","SGL","8405"
"CAP Pumping Plants - Projection of Energy Use",2017,"OCT","SGL","4324"
"CAP Pumping Plants - Projection of Energy Use",2017,"NOV","SGL","2460"
"CAP Pumping Plants - Projection of Energy Use",2017,"DEC","SGL","3738"
"CAP Pumping Plants - Projection of Energy Use",2017,"TOTAL","SGL","89000"
"CAP Pumping Plants - Projection of Energy Use",2018,"JAN","SGL","2680"
"CAP Pumping Plants - Projection of Energy Use",2018,"FEB","SGL","4105"
"CAP Pumping Plants - Projection of Energy Use",2018,"MAR","SGL","7842"
"CAP Pumping Plants - Projection of Energy Use",2018,"APR","SGL","11347"
"CAP Pumping Plants - Projection of Energy Use",2018,"MAY","SGL","12596"
"CAP Pumping Plants - Projection of Energy Use",2018,"JUN","SGL","13917"
"CAP Pumping Plants - Projection of Energy Use",2018,"JUL","SGL","14129"
"CAP Pumping Plants - Projection of Energy Use",2018,"AUG","SGL","12009"
