"","Variable","Jan","Feb","Mar","Q1","Apr","May","Jun","Q2","Jul","Aug","Sep","Q3","Oct","Nov","Dec","Q4","Total","Physical Turnout","Group","Subgroup","Name","Section","Year"
"4322","               Scottsdale/GRIC Lease (CSIF)",NA,NA,NA,"0",NA,"233",NA,"233",NA,NA,NA,"0",NA,NA,NA,"0","233",NA,"FEDERAL:","Off Reservation","Scottsdale/GRIC Lease (CSIF)","HASSAYAMPA PP",2017
"4323","               Chandler/SRPMIC Lease (CSIF)",NA,NA,NA,"0","600","649",NA,"1249",NA,NA,NA,"0",NA,NA,NA,"0","1249","SRP","FEDERAL:","Off Reservation","Chandler/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2017
"4324","               Gilbert/SRPMIC Lease (CSIF)",NA,NA,NA,"0",NA,NA,"636","636","800",NA,NA,"800",NA,NA,NA,"0","1436","SRP","FEDERAL:","Off Reservation","Gilbert/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2017
"4325","               Glendale/SRPMIC Lease",NA,NA,"1641","1641","173",NA,NA,"173",NA,NA,NA,"0",NA,NA,NA,"0","1814","GLE/MWD","FEDERAL:","Off Reservation","Glendale/SRPMIC Lease","HASSAYAMPA PP",2017
"4326","               Glendale/SRPMIC Lease (HMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","HMR","FEDERAL:","Off Reservation","Glendale/SRPMIC Lease (HMRP)","HASSAYAMPA PP",2017
"4327","               Mesa/SRPMIC Lease",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Mesa/SRPMIC Lease","HASSAYAMPA PP",2017
"4328","               Phoenix/SRPMIC Lease",NA,NA,NA,"0","3023",NA,NA,"3023",NA,NA,NA,"0",NA,NA,NA,"0","3023",NA,"FEDERAL:","Off Reservation","Phoenix/SRPMIC Lease","HASSAYAMPA PP",2017
"4329","               Phoenix/SRPMIC Lease (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Phoenix/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2017
"4330","               Scottsdale/SRPMIC Lease","60",NA,NA,"60",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","60",NA,"FEDERAL:","Off Reservation","Scottsdale/SRPMIC Lease","HASSAYAMPA PP",2017
"4331","               Tempe/SRPMIC Lease (CSIF)","60",NA,NA,"60",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","60","SRP","FEDERAL:","Off Reservation","Tempe/SRPMIC Lease (CSIF)","HASSAYAMPA PP",2017
"4332","               FMYN - SRP (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRP","FEDERAL:","Off Reservation","FMYN - SRP (CSIF)","HASSAYAMPA PP",2017
"4333","               GRIC/SRP GRSP",NA,NA,NA,"0",NA,NA,"2926","2926","1462","962","962","3386",NA,NA,NA,"0","6312","SRP","FEDERAL:","Off Reservation","GRIC/SRP GRSP","HASSAYAMPA PP",2017
"4334","               GRIC/SRP (CSIF)",NA,NA,NA,"0",NA,NA,"3000","3000","5000","6951","5000","16951",NA,"2324","4600","6924","26875","SRP","FEDERAL:","Off Reservation","GRIC/SRP (CSIF)","HASSAYAMPA PP",2017
"4335","               Tohono Nation (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","AFR","FEDERAL:","Off Reservation","Tohono Nation (AFRP)","HASSAYAMPA PP",2017
"4336","               Tohono Nation (HMRP)",NA,NA,NA,"0",NA,NA,NA,"0","565",NA,NA,"565","400","480",NA,"880","1445","HMR","FEDERAL:","Off Reservation","Tohono Nation (HMRP)","HASSAYAMPA PP",2017
"4337","               Chandler/Welton-Mohawk (CSIF)",NA,NA,NA,"0",NA,NA,"1300","1300","1300","969",NA,"2269",NA,NA,NA,"0","3569","SRP","FEDERAL:","Off Reservation","Chandler/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2017
"4338","               Gilbert/Welton-Mohawk (AFRP)",NA,NA,NA,"0",NA,NA,"1105","1105",NA,NA,NA,"0",NA,NA,NA,"0","1105",NA,"FEDERAL:","Off Reservation","Gilbert/Welton-Mohawk (AFRP)","HASSAYAMPA PP",2017
"4339","               Gilbert/Welton-Mohawk (CSIF)",NA,NA,NA,"0","700","700","164","1564",NA,NA,NA,"0",NA,NA,NA,"0","1564","SRP","FEDERAL:","Off Reservation","Gilbert/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2017
"4340","               Glendale/Welton-Mohawk","1062","1730","58","2850",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","2850","GLE","FEDERAL:","Off Reservation","Glendale/Welton-Mohawk","HASSAYAMPA PP",2017
"4341","               Mesa/Welton-Mohawk",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Mesa/Welton-Mohawk","HASSAYAMPA PP",2017
"4342","               Phoenix/Welton-Mohawk",NA,NA,NA,"0","4750",NA,NA,"4750",NA,NA,NA,"0",NA,NA,NA,"0","4750",NA,"FEDERAL:","Off Reservation","Phoenix/Welton-Mohawk","HASSAYAMPA PP",2017
"4343","               Scottsdale/Welton-Mohawk","95",NA,NA,"95",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","95",NA,"FEDERAL:","Off Reservation","Scottsdale/Welton-Mohawk","HASSAYAMPA PP",2017
"4344","               Tempe/Welton-Mohawk (CSIF)","95",NA,NA,"95",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","95","SRP","FEDERAL:","Off Reservation","Tempe/Welton-Mohawk (CSIF)","HASSAYAMPA PP",2017
"4345","               SCAT - SRP (Freeport-McMoRan) CSIF","1073",NA,NA,"1073","1310","2356","301","3967","1000","1835","2783","5618","869","1699","737","3305","13963","SRP","FEDERAL:","Off Reservation","SCAT - SRP (Freeport-McMoRan) CSIF","HASSAYAMPA PP",2017
"4346","               Gilbert/FMYN GRUSP @ SRP",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRP","FEDERAL:","Off Reservation","Gilbert/FMYN GRUSP @ SRP","HASSAYAMPA PP",2017
"4347","               Gilbert/SCAT (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"203","203","203","SRP","FEDERAL:","Off Reservation","Gilbert/SCAT (AFRP)","HASSAYAMPA PP",2017
"4348","               Gilbert/SCAT Lease (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0","2825","2500",NA,"5325",NA,NA,NA,"0","5325",NA,"FEDERAL:","Off Reservation","Gilbert/SCAT Lease (CSIF)","HASSAYAMPA PP",2017
"4349","               Scottsdale/SCAT Lease","4","3719","5141","8864","1567",NA,NA,"1567",NA,NA,NA,"0",NA,NA,NA,"0","10431",NA,"FEDERAL:","Off Reservation","Scottsdale/SCAT Lease","HASSAYAMPA PP",2017
"4350","               Scottsdale/SCAT Lease (CSIF)","115",NA,NA,"115",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","115",NA,"FEDERAL:","Off Reservation","Scottsdale/SCAT Lease (CSIF)","HASSAYAMPA PP",2017
"4351","               Scottsdale/Yavapai-Prescott (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Scottsdale/Yavapai-Prescott (CSIF)","HASSAYAMPA PP",2017
"4352","               Scottsdale/Yavapai-Prescott","500",NA,NA,"500",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","500",NA,"FEDERAL:","Off Reservation","Scottsdale/Yavapai-Prescott","HASSAYAMPA PP",2017
"4353","               Tonto Apache (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"FEDERAL:","Off Reservation","Tonto Apache (CSIF)","HASSAYAMPA PP",2017
"4354","                    TOTAL FEDERAL","6699","8280","11492","26471","24991","20849","10839","56679","14516","13878","9324","37718","2305","4954","5901","13160","134028",NA,"TOTAL FEDERAL",NA,NA,"HASSAYAMPA PP",2017
"4355","               Avondale/CSIF  (own facility)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRP","RECHARGE:","Direct","Avondale/CSIF (own facility)","HASSAYAMPA PP",2017
"4356","               CAGRD (AFRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","AFR","RECHARGE:","Direct","CAGRD (AFRP)","HASSAYAMPA PP",2017
"4357","               CAGRD (HMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","HMR","RECHARGE:","Direct","CAGRD (HMRP)","HASSAYAMPA PP",2017
"4358","               AFRP (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","AFRP (AWBA, Direct)","HASSAYAMPA PP",2017
"4359","               Interstate Banking (AFRP) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","10242","RECHARGE:","Direct AWBA","Interstate Banking (AFRP) (AWBA, Direct)","HASSAYAMPA PP",2017
"4360","               GRUSP (AWBA, Direct) (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","GRUSP (AWBA, Direct) (CSIF)","HASSAYAMPA PP",2017
"4361","               Interstate Banking (GRUSP) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (GRUSP) (AWBA, Direct)","HASSAYAMPA PP",2017
"4362","               Hieroglyphic (HMRP, AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"850","850","1050",NA,NA,"1050","1900",NA,"RECHARGE:","Direct AWBA","Hieroglyphic (HMRP, AWBA, Direct)","HASSAYAMPA PP",2017
"4363","               Interstate Banking (Hieroglyphic) (HMRP, AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","Interstate Banking (Hieroglyphic) (HMRP, AWBA, Direct)","HASSAYAMPA PP",2017
"4364","               New Riv-Agua Fria(NAUSP)/SRP (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","New Riv-Agua Fria(NAUSP)/SRP (AWBA, Direct)","HASSAYAMPA PP",2017
"4365","               East Salt River Valley (ESRV) (AWBA, Direct)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Direct AWBA","East Salt River Valley (ESRV) (AWBA, Direct)","HASSAYAMPA PP",2017
"4366","               CAGRD/MWD",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Indirect","CAGRD/MWD","HASSAYAMPA PP",2017
"4367","               SRP GSF (AWBA, Indirect) (CSIF)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"RECHARGE:","Indirect AWBA","SRP GSF (AWBA, Indirect) (CSIF)","HASSAYAMPA PP",2017
"4368","               TOTAL INDIRECT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"TOTAL INDIRECT",NA,NA,"HASSAYAMPA PP",2017
"4369","               TOTAL RECHARGE","0","0","0","0","0","0","0","0","0","0","850","850","1050","0","0","1050","1900",NA,"TOTAL RECHARGE",NA,NA,"HASSAYAMPA PP",2017
"4370","            TOTAL DELIVERIES","19017","15791","20318","55126","36789","38843","47555","123187","53147","47024","41214","141385","32860","27931","27205","87996","407694",NA,"TOTAL DELIVERIES",NA,NA,"HASSAYAMPA PP",2017
"4371","Maricopa Water District Lake Water (MWD**)",NA,"960","3970","4930","71","2230","3740","6041","2096","985","3198","6279","3450","5218","1302","9970","27220","MWD","Maricopa Water District Lake Water (MWD**)",NA,NA,"HASSAYAMPA PP",2017
"4372","SRP/CAP Exchange Water",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"SRP/CAP Exchange Water",NA,NA,"HASSAYAMPA PP",2017
"4373","Salt River Project Excess ($84/AF Water)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"Salt River Project Excess ($84/AF Water)",NA,NA,"HASSAYAMPA PP",2017
"4374","Temporary Water Permits (various locals)","9","214","37","260","57","45","30","132","57","62","65","184","76","56",NA,"132","708",NA,"Temporary Water Permits (various locals)",NA,NA,"HASSAYAMPA PP",2017
"4375","Waddell (pumpage)","83310","16480","20055","119845","9498","24625",NA,"34123",NA,NA,"9609","9609","44152","65541","70977","180670","344247",NA,"Waddell (pumpage)",NA,NA,"HASSAYAMPA PP",2017
"4376","Canal Losses","104","268","474","846","647","742","781","2170","774","596","546","1916","517","413","302","1232","6164",NA,"Canal Losses",NA,NA,"HASSAYAMPA PP",2017
"4377","SEGMENT DEMAND","102440","33713","44854","181007","47062","66485","52106","165653","56074","48667","54632","159373","81055","99159","99786","280000","786033",NA,"SEGMENT DEMAND",NA,NA,"HASSAYAMPA PP",2017
"4378","SEGMENT AVG FLOW (CFS)","1666.4226571014917","607.17887760247811","729.65366909049499",NA,"791.09093965372324","1081.5317293771247","875.87829887376017",NA,"912.17282384136115","791.68090055796858","918.33921667507138",NA,"1318.546353683731","1666.8179525970752","1623.2492313698697",NA,NA,NA,"SEGMENT AVG FLOW (CFS)",NA,NA,"HASSAYAMPA PP",2017
"4379","VOLUME PASSING HSY","124151","58663","132094","314908","154149","168828","75794","398771","68658","65923","127463","262044","125637","124524","138250","388411","1364134",NA,"VOLUME PASSING HSY",NA,NA,"HASSAYAMPA PP",2017
"4380","FLOW PASSING HSY (CFS)","2019.6021017357214","1056.5341113752611","2148.8133001480323",NA,"2591.1749873928393","2746.3764579571516","1274.0628677088587",NA,"1116.8805817188033","1072.3895043352366","2142.5953941838961",NA,"2043.7753159923868","2093.1921331316189","2248.9548256958342",NA,NA,NA,"FLOW PASSING HSY (CFS)",NA,NA,"HASSAYAMPA PP",2017
"4381","FLOW AT CS19 (CFS)","679.06235257755429","799.13190692313231","1588.404665462886",NA,"2150.7816439737771","2127.8447448473312","2966.5826189275508",NA,"2514.3721633888044","2461.1130089632843","2017.9189779794922",NA,"1112.943894067314","782.40040342914779","997.75511200039034",NA,NA,NA,"FLOW AT CS19 (CFS)",NA,NA,"HASSAYAMPA PP",2017
"4382","                                        PHX  PLP Turnout (AF)","2410","2171","2419",NA,"2311","2503","2198",NA,"2406","2398","2288",NA,"2551","2908","2443",NA,NA,NA,"FLOW AT CS19 (CFS)",NA,"PHX PLP Turnout (AF)","HASSAYAMPA PP",2017
"4383","               WUCFD (Apache Junction)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,"32","107","139","139","MES + Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","WUCFD (Apache Junction)","SALT GILA PP",2017
"4384","               WUCFD (Apache Junction) w/RWCD",NA,NA,NA,"0",NA,NA,NA,"0","534",NA,NA,"534",NA,"100",NA,"100","634",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","WUCFD (Apache Junction) w/RWCD","SALT GILA PP",2017
"4385","               Arizona Water Co. (Casa Grande)","45","38","92","175","78","110","364","552","283","286","199","768","141","74","127","342","1837","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Casa Grande)","SALT GILA PP",2017
"4386","               Arizona Water Co. (Casa Grande) w/Hohokam",NA,NA,NA,"0",NA,NA,NA,"0","1700",NA,NA,"1700",NA,NA,NA,"0","1700","KLK/CGE","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Casa Grande) w/Hohokam","SALT GILA PP",2017
"4387","               Arizona Water Co. (Casa Grande) w/MSIDD",NA,NA,NA,"0","2300",NA,NA,"2300",NA,NA,NA,"0",NA,NA,NA,"0","2300","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Casa Grande) w/MSIDD","SALT GILA PP",2017
"4388","               Arizona Water Co. (Coolidge) w/Hohokam",NA,NA,NA,"0",NA,NA,NA,"0","600",NA,NA,"600",NA,NA,NA,"0","600","KLK/CGE","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Coolidge) w/Hohokam","SALT GILA PP",2017
"4389","               Arizona Water Co. (Superstition)","32","101","225","358","376","382","399","1157","377","322","250","949","274","284","135","693","3157","Pumps","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Superstition)","SALT GILA PP",2017
"4390","               Arizona Water Co. (Superstition) w/RWCD",NA,NA,NA,"0","2400",NA,NA,"2400",NA,NA,NA,"0",NA,NA,NA,"0","2400","RWC","MUNICIPAL & INDUSTRIAL:","Subcontract","Arizona Water Co. (Superstition) w/RWCD","SALT GILA PP",2017
"4391","               ASARCO w/ RWCD GSF",NA,NA,NA,"0",NA,"1457","5998","7455","3196","4330","6019","13545",NA,NA,NA,"0","21000",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","ASARCO w/ RWCD GSF","SALT GILA PP",2017
"4392","               CAGRD (QCID)",NA,NA,"315","315",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","315",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD (QCID)","SALT GILA PP",2017
"4393","               Chandler, City of (NMIDD)",NA,NA,NA,"0","800",NA,"871","1671",NA,NA,NA,"0",NA,NA,NA,"0","1671",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of (NMIDD)","SALT GILA PP",2017
"4394","               Chandler, City of (SMRP)",NA,"500","330","830",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","830","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of (SMRP)","SALT GILA PP",2017
"4395","               Chandler, City of (TP's)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"1128","1128","686","528","1118","2332","3460","CGT","MUNICIPAL & INDUSTRIAL:","Subcontract","Chandler, City of (TP's)","SALT GILA PP",2017
"4396","               Eloy, City of (Thru MSIDD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Eloy, City of (Thru MSIDD)","SALT GILA PP",2017
"4397","               Florence, Town of (Thru MSIDD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRO","MUNICIPAL & INDUSTRIAL:","Subcontract","Florence, Town of (Thru MSIDD)","SALT GILA PP",2017
"4398","               Miami - Freeport-McMoRan (RWCD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","2023","828",NA,"2851","2851",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Miami - Freeport-McMoRan (RWCD)","SALT GILA PP",2017
"4399","               Gilbert, Town of (SMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"172","172",NA,NA,NA,"0","172","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of (SMRP)","SALT GILA PP",2017
"4400","               Gilbert, Town of",NA,NA,NA,"0",NA,NA,NA,"0",NA,"685","1081","1766","804","723","1115","2642","4408","CGT","MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of","SALT GILA PP",2017
"4401","               Gilbert, Town of (QCID)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"255","255","255",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Gilbert, Town of (QCID)","SALT GILA PP",2017
"4402","               Goodyear, Town of (SMRP)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Goodyear, Town of (SMRP)","SALT GILA PP",2017
"4403","               H2O Inc.",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","QCR","MUNICIPAL & INDUSTRIAL:","Subcontract","H2O Inc.","SALT GILA PP",2017
"4404","               LSM Golf, LLC (Mesa)","7","15","37","59","66","73","66","205","39","21","2","62","4","25","24","53","379","Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","LSM Golf, LLC (Mesa)","SALT GILA PP",2017
"4405","               Mesa, City of","1183","1185","2063","4431","123","1673","5495","7291","5229","4808","4788","14825","4495","4482","4569","13546","40093","MES","MUNICIPAL & INDUSTRIAL:","Subcontract","Mesa, City of","SALT GILA PP",2017
"4406","               Phoenix (MAR5)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","PIL","MUNICIPAL & INDUSTRIAL:","Subcontract","Phoenix (MAR5)","SALT GILA PP",2017
"4407","               Surprise thru NMIDD",NA,"754","300","1054","454","377",NA,"831","754","1885",NA,"2639",NA,NA,NA,"0","4524",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Surprise thru NMIDD","SALT GILA PP",2017
"4408","               CAGRD thru NMIDD",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","CAGRD thru NMIDD","SALT GILA PP",2017
"4409","               Scottsdale (SMRP)",NA,NA,NA,"0",NA,NA,"4927","4927","13",NA,NA,"13",NA,NA,NA,"0","4940","SMR","MUNICIPAL & INDUSTRIAL:","Subcontract","Scottsdale (SMRP)","SALT GILA PP",2017
"4410","               Red Mt Ranch Country Club (Mesa)","20","30","35","85","59","62","60","181","76","56","45","177","64","79","38","181","624","Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","Red Mt Ranch Country Club (Mesa)","SALT GILA PP",2017
"4411","               Tonto Hills DWID GSF w/RWCD",NA,NA,NA,"0","37",NA,NA,"37",NA,NA,NA,"0",NA,NA,NA,"0","37",NA,"MUNICIPAL & INDUSTRIAL:","Subcontract","Tonto Hills DWID GSF w/RWCD","SALT GILA PP",2017
"4412","               Queen Creek, Town of",NA,NA,NA,"0",NA,NA,NA,"0","122","128","122","372","123",NA,NA,"123","495","QCR","MUNICIPAL & INDUSTRIAL:","Subcontract","Queen Creek, Town of","SALT GILA PP",2017
"4413","               Viewpoint RV & Golf Resort (Mesa)","6","9","27","42","59","74","61","194","76","60","50","186","65","48","27","140","562","Pump","MUNICIPAL & INDUSTRIAL:","Subcontract","Viewpoint RV & Golf Resort (Mesa)","SALT GILA PP",2017
"4414","               Arizona Pacific Materials, LLC",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Arizona Pacific Materials, LLC","SALT GILA PP",2017
"4415","               Arizona Public Service (APS)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","CGE","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Arizona Public Service (APS)","SALT GILA PP",2017
"4416","               Chandler (Inadvertent Overrun)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"15","15","15",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Chandler (Inadvertent Overrun)","SALT GILA PP",2017
"4417","               Gilbert (Inadvertent Overrun)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"19","19","19",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Gilbert (Inadvertent Overrun)","SALT GILA PP",2017
"4418","               GRIC/SS Replenishment Bank/AWBA",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","PIL","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","GRIC/SS Replenishment Bank/AWBA","SALT GILA PP",2017
"4419","               H2O Inc.",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","QCR","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","H2O Inc.","SALT GILA PP",2017
"4420","               JADAAL, Inc.",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","NM4","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","JADAAL, Inc.","SALT GILA PP",2017
"4421","               Maricopa Drilling Company",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0",NA,"MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Maricopa Drilling Company","SALT GILA PP",2017
"4422","               Oasis Golf Resort (Johnson Utilities)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","NM3","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Oasis Golf Resort (Johnson Utilities)","SALT GILA PP",2017
"4423","               Pinal County Dept of Public Works",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","NM3","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Pinal County Dept of Public Works","SALT GILA PP",2017
"4424","               Red Mt Ranch/OA",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Red Mt Ranch/OA","SALT GILA PP",2017
"4425","               Schafer, Todd (Bob White Farms)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","Pump","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Schafer, Todd (Bob White Farms)","SALT GILA PP",2017
"4426","               Shea Homes/Encanterra-NMIDD",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","NM1","MUNICIPAL & INDUSTRIAL:","Non-Subcontract","Shea Homes/Encanterra-NMIDD","SALT GILA PP",2017
"4427","               thru MSIDD (CAGRD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SRO","MUNICIPAL & INDUSTRIAL:","CAGRD RO","thru MSIDD (CAGRD)","SALT GILA PP",2017
"4428","               thru NMIDD (CAGRD)",NA,NA,NA,"0",NA,"3000","3000","6000","3000",NA,NA,"3000",NA,NA,NA,"0","9000",NA,"MUNICIPAL & INDUSTRIAL:","CAGRD RO","thru NMIDD (CAGRD)","SALT GILA PP",2017
"4429","               thru QCID (CAGRD)",NA,NA,NA,"0",NA,"2685",NA,"2685",NA,NA,NA,"0",NA,NA,NA,"0","2685","QCR","MUNICIPAL & INDUSTRIAL:","CAGRD RO","thru QCID (CAGRD)","SALT GILA PP",2017
"4430","               thru SMRP (CAGRD)",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0","0","SMR","MUNICIPAL & INDUSTRIAL:","CAGRD RO","thru SMRP (CAGRD)","SALT GILA PP",2017
